DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
31R075,1369.0,1369.0,1369.0,1369.0,54.0,53.0,53.0,53.0,25.35185185185185,25.830188679245282,25.830188679245282,25.830188679245282,13.300000000000004
31R080,290.0,289.0,290.0,289.0,10.0,10.0,10.0,10.0,29.0,28.9,29.0,28.9,16.199999999999996
31R861,294.0,306.0,303.0,304.0,11.0,12.0,22.0,12.0,26.727272727272727,25.5,13.772727272727273,25.333333333333332,14.900000000000004
32K045,229.0,216.0,216.0,216.0,11.0,10.0,10.0,10.0,20.818181818181817,21.6,21.6,21.6,14.6
32K162,505.0,523.0,425.0,425.0,25.0,23.0,19.0,19.0,20.2,22.73913043478261,22.36842105263158,22.36842105263158,11.400000000000004
32K291,637.0,523.0,297.0,297.0,30.0,22.0,12.0,14.0,21.233333333333334,23.772727272727273,24.75,21.214285714285715,9.200000000000001
32K347,338.0,300.0,300.0,300.0,16.0,13.0,13.0,13.0,21.125,23.076923076923077,23.076923076923077,23.076923076923077,11.900000000000004
32K349,448.0,728.0,296.0,296.0,20.0,31.0,13.0,13.0,22.4,23.483870967741936,22.76923076923077,22.76923076923077,11.3
32K377,143.0,143.0,143.0,143.0,9.0,9.0,10.0,9.0,15.88888888888889,15.88888888888889,14.3,15.88888888888889,10.900000000000004
32K383,1381.0,885.0,929.0,1053.0,60.0,35.0,39.0,43.0,23.016666666666666,25.285714285714285,23.82051282051282,24.488372093023255,14.300000000000004
32K384,185.0,185.0,215.0,185.0,8.0,8.0,9.0,8.0,23.125,23.125,23.88888888888889,23.125,12.4
32K554,330.0,180.0,180.0,180.0,13.0,6.0,6.0,6.0,25.384615384615383,30.0,30.0,30.0,23.900000000000002
32K562,341.0,325.0,325.0,301.0,19.0,14.0,16.0,15.0,17.94736842105263,23.214285714285715,20.3125,20.066666666666666,9.400000000000002
