DBN,Number of Students English,Number of Students Math,Number of Students Science,Number of Students Social Studies,Number of Classes English,Number of Classes Math,Number of Classes Science,Number of Classes Social Studies,Average Class Size English,Average Class Size Math,Average Class Size Science,Average Class Size Social Studies,School Pupil-Teacher Ratio
11X355,645.0,345.0,324.0,324.0,29.0,15.0,14.0,14.0,22.24137931034483,23.0,23.142857142857142,23.142857142857142,10.599999999999998
11X370,918.0,807.0,388.0,388.0,52.0,48.0,17.0,17.0,17.653846153846153,16.8125,22.823529411764707,22.823529411764707,9.099999999999998
11X462,27.0,266.0,266.0,,1.0,9.0,9.0,,27.0,29.555555555555557,29.555555555555557,,15.9
11X468,654.0,654.0,330.0,330.0,22.0,22.0,12.0,12.0,29.727272727272727,29.727272727272727,27.5,27.5,13.099999999999996
11X498,283.0,283.0,283.0,283.0,10.0,10.0,10.0,10.0,28.3,28.3,28.3,28.3,15.300000000000002
11X529,577.0,345.0,345.0,345.0,19.0,12.0,10.0,11.0,30.36842105263158,28.75,34.5,31.363636363636363,8.799999999999999
11X532,456.0,301.0,301.0,19.0,22.0,12.0,12.0,2.0,20.727272727272727,25.083333333333332,25.083333333333332,9.5,11.799999999999999
11X556,424.0,489.0,73.0,280.0,30.0,59.0,3.0,33.0,14.133333333333333,8.288135593220339,24.333333333333332,8.484848484848484,10.599999999999998
11X566,641.0,635.0,496.0,622.0,31.0,27.0,19.0,27.0,20.677419354838708,23.51851851851852,26.105263157894736,23.037037037037038,14.300000000000004
12X098,216.0,216.0,204.0,204.0,13.0,13.0,12.0,12.0,16.615384615384617,16.615384615384617,17.0,17.0,10.5
12X129,558.0,568.0,532.0,531.0,24.0,24.0,19.0,21.0,23.25,23.666666666666668,28.0,25.285714285714285,14.5
12X190,324.0,348.0,327.0,255.0,16.0,18.0,16.0,13.0,20.25,19.333333333333332,20.4375,19.615384615384617,9.900000000000002
12X211,250.0,225.0,225.0,225.0,11.0,10.0,10.0,10.0,22.727272727272727,22.5,22.5,22.5,12.599999999999996
12X212,181.0,184.0,181.0,181.0,7.0,8.0,7.0,7.0,25.857142857142858,23.0,25.857142857142858,25.857142857142858,13.0
12X214,525.0,459.0,459.0,459.0,22.0,19.0,16.0,14.0,23.863636363636363,24.157894736842106,28.6875,32.785714285714285,13.699999999999998
12X217,298.0,298.0,298.0,298.0,15.0,15.0,15.0,15.0,19.866666666666667,19.866666666666667,19.866666666666667,19.866666666666667,8.700000000000001
12X242,308.0,300.0,300.0,300.0,13.0,12.0,12.0,12.0,23.692307692307693,25.0,25.0,25.0,11.5
12X267,287.0,233.0,233.0,233.0,16.0,12.0,12.0,12.0,17.9375,19.416666666666668,19.416666666666668,19.416666666666668,13.0
12X271,292.0,258.0,264.0,264.0,14.0,13.0,13.0,13.0,20.857142857142858,19.846153846153847,20.307692307692307,20.307692307692307,10.400000000000004
12X273,519.0,490.0,253.0,253.0,23.0,22.0,11.0,11.0,22.565217391304348,22.272727272727273,23.0,23.0,13.5
12X286,286.0,286.0,273.0,273.0,16.0,15.0,14.0,14.0,17.875,19.066666666666666,19.5,19.5,9.900000000000002
12X316,415.0,438.0,384.0,375.0,17.0,18.0,16.0,15.0,24.41176470588235,24.333333333333332,24.0,25.0,14.900000000000004
12X318,574.0,564.0,371.0,282.0,23.0,22.0,14.0,10.0,24.956521739130434,25.636363636363637,26.5,28.2,12.199999999999996
12X341,134.0,134.0,134.0,134.0,7.0,6.0,6.0,6.0,19.142857142857142,22.333333333333332,22.333333333333332,22.333333333333332,11.299999999999999
12X372,202.0,207.0,206.0,205.0,12.0,11.0,11.0,11.0,16.833333333333332,18.818181818181817,18.727272727272727,18.636363636363637,11.0
12X383,502.0,502.0,251.0,251.0,21.0,26.0,13.0,14.0,23.904761904761905,19.307692307692307,19.307692307692307,17.928571428571427,11.200000000000001
12X384,611.0,567.0,264.0,264.0,28.0,26.0,12.0,12.0,21.821428571428573,21.807692307692307,22.0,22.0,12.099999999999996
13K008,257.0,257.0,257.0,257.0,10.0,10.0,10.0,10.0,25.7,25.7,25.7,25.7,15.0
13K113,319.0,319.0,319.0,319.0,15.0,15.0,15.0,15.0,21.266666666666666,21.266666666666666,21.266666666666666,21.266666666666666,12.7
13K265,166.0,166.0,106.0,,11.0,11.0,7.0,,15.090909090909092,15.090909090909092,15.142857142857142,,11.799999999999999
13K266,163.0,234.0,163.0,163.0,9.0,12.0,8.0,9.0,18.11111111111111,19.5,20.375,18.11111111111111,12.700000000000001
13K282,268.0,267.0,268.0,268.0,12.0,13.0,12.0,12.0,22.333333333333332,20.53846153846154,22.333333333333332,22.333333333333332,15.2
13K301,212.0,208.0,106.0,106.0,14.0,13.0,6.0,6.0,15.142857142857142,16.0,17.666666666666668,17.666666666666668,7.8999999999999995
13K313,225.0,232.0,132.0,137.0,14.0,13.0,9.0,8.0,16.071428571428573,17.846153846153847,14.666666666666666,17.125,9.099999999999998
