dbn,grade_7_enrollment,num_shsat_test_takers,offers_per_student,pct_test_takers,high_registrations
75R025,62,0,0,0,0
75X017,63,0,0,0,0
75X168,54,0,0,0,0
75X176,71,0,0,0,0
84M204,75,0,0,0,0
84M353,100,0,0,0,0
84X185,46,0,0,0,0
01M034,41,6,0,10,0
01M140,65,6,0,9,0
02M217,22,6,0,28,0
03M191,53,6,0,16,0
04M377,39,6,0,11,0
04M964,49,6,0,20,0
06M018,39,6,0,11,0
06M348,87,6,0,3,0
07X296,96,6,0,7,0
10X037,50,6,0,8,0
10X225,74,6,0,3,0
12X372,59,6,0,3,0
14K586,57,6,0,3,0
15K448,89,6,0,3,0
17K353,52,6,0,13,0
19K422,86,6,0,3,0
23K668,38,6,0,13,0
29Q259,79,6,0,3,0
30Q235,39,6,0,12,0
03M165,46,7,0,13,0
04M050,26,7,0,35,0
09X004,69,7,0,11,0
09X219,118,7,0,6,0
09X231,68,7,0,5,0
12X211,77,7,0,8,0
12X341,48,7,0,12,0
14K050,109,7,0,8,0
17K484,58,7,0,15,0
19K404,82,7,0,4,0
21K121,35,7,0,22,0
27Q043,71,7,0,11,0
27Q105,77,7,0,8,0
32K349,106,7,0,8,0
84K730,45,7,0,7,0
84M704,28,7,0,33,0
84X482,120,7,0,3,0
04M610,52,8,0,6,0
05M046,61,8,0,12,0
06M210,59,8,0,16,0
07X005,99,8,0,11,0
07X221,100,8,0,4,0
10X206,64,8,0,11,0
12X217,92,8,0,8,0
13K266,39,8,0,11,0
16K308,37,8,0,14,0
23K155,52,8,0,23,0
32K162,118,8,0,4,0
32K291,92,8,0,7,0
32K384,64,8,0,13,0
84M709,48,8,0,8,0
02M408,31,9,0,7,0
04M108,59,9,0,9,0
06M328,79,9,0,9,0
07X031,84,9,0,11,0
07X298,85,9,0,11,0
08X376,79,9,0,8,0
09X313,102,9,0,8,0
16K057,66,9,0,11,0
17K352,50,9,0,12,0
23K137,29,9,0,27,0
23K284,57,9,0,18,0
23K327,0,9,0,32,0
23K522,58,9,0,15,0
25Q200,65,9,0,13,0
27Q333,24,9,0,30,0
29Q147,69,9,0,11,0
29Q356,98,9,0,9,0
03M859,14,10,0,17,0
05M148,68,10,0,8,0
05M670,55,10,0,6,0
07X029,89,10,0,12,0
07X584,99,10,0,9,0
09X413,43,10,0,7,0
10X459,92,10,0,10,0
12X384,84,10,0,13,0
19K409,75,10,0,5,0
19K760,97,10,0,10,0
23K323,65,10,0,14,0
23K671,65,10,0,14,0
29Q116,65,10,0,16,0
29Q138,116,10,0,9,0
29Q283,80,10,0,7,0
32K562,125,10,0,10,0
84M335,45,10,0,10,0
01M301,23,11,0,21,0
03M256,48,11,0,22,0
03M258,84,11,0,18,0
04M072,81,11,0,13,0
05M514,46,11,0,16,0
08X123,128,11,0,12,0
12X273,82,11,0,15,0
18K588,62,11,0,18,0
19K171,148,11,0,7,0
27Q146,60,11,0,14,0
32K347,113,11,0,11,0
84X492,108,11,0,9,0
03M247,71,12,0,18,0
06M311,43,12,0,33,0
10X315,41,12,0,40,1
17K394,49,12,0,21,0
19K662,156,12,0,7,0
19K663,61,12,0,19,0
21K095,49,12,0,25,0
22K109,98,12,0,11,0
23K644,101,12,0,6,0
23K664,27,12,0,34,0
24Q087,81,12,0,16,0
28Q008,127,12,0,12,0
84M279,72,12,0,8,0
01M332,65,13,0,18,0
05M499,95,13,0,3,0
06M052,73,13,0,10,0
06M293,79,13,0,7,0
08X302,175,13,0,7,0
09X241,89,13,0,7,0
09X324,110,13,0,8,0
09X505,91,13,0,6,0
10X003,31,13,0,26,0
10X254,165,13,0,9,0
17K722,69,13,0,18,0
27Q309,72,13,0,6,0
84M708,110,13,0,6,0
84M861,30,13,0,38,0
84Q705,52,13,0,11,0
04M224,63,14,0,25,0
11X175,51,14,0,31,0
12X271,92,14,0,7,0
20K192,67,14,0,20,0
21K238,64,14,0,23,0
27Q207,73,14,0,16,0
30Q078,46,14,0,51,1
02M442,23,15,0,60,1
03M333,63,15,0,30,0
05M286,59,15,0,18,0
06M366,56,15,0,27,0
09X327,100,15,0,7,0
11X532,100,15,0,13,0
14K157,54,15,0,23,0
17K382,54,15,0,12,0
17K590,116,15,0,4,0
19K654,106,15,0,16,0
21K468,97,15,0,7,0
27Q262,132,15,0,6,0
84K757,98,15,0,7,0
84M336,82,15,0,8,0
84X461,48,15,0,15,0
01M450,105,16,0,8,0
05M161,127,16,0,12,0
06M346,99,16,0,7,0
09X303,99,16,0,12,0
09X325,81,16,0,13,0
18K068,120,16,0,11,0
19K678,84,16,0,21,0
24Q311,294,16,0,13,0
25Q285,81,16,0,9,0
27Q053,90,16,0,13,0
84K536,54,16,0,29,0
84M330,71,16,0,29,0
84M382,59,16,0,10,0
84R067,92,16,0,9,0
84X177,87,16,0,17,0
02M933,85,17,0,22,0
04M206,69,17,0,36,0
06M143,93,17,0,15,0
08X375,85,17,0,23,0
10X391,160,17,0,8,0
12X242,102,17,0,8,0
13K691,60,17,0,22,0
18K598,48,17,0,32,0
19K089,49,17,0,31,0
21K099,70,17,0,16,0
29Q355,93,17,0,16,0
84K702,46,17,0,34,0
84X422,30,17,0,56,1
06M209,92,18,0,21,0
07X223,100,18,0,9,0
09X361,135,18,0,13,0
10X243,93,18,0,8,0
12X318,96,18,0,17,0
14K084,68,18,0,26,0
15K136,160,18,0,10,0
17K354,57,18,0,26,0
18K581,58,18,0,56,1
29Q192,152,18,0,11,0
31R028,60,18,0,16,0
84M341,70,18,0,12,0
84M726,51,18,0,13,0
01M378,90,19,0,19,0
08X448,134,19,0,15,0
10X308,92,19,0,23,0
12X190,86,19,0,24,0
16K267,87,19,0,22,0
21K690,103,19,0,6,0
84M068,91,19,0,11,0
84X165,59,19,0,50,1
84X345,75,19,0,12,0
84X398,49,19,0,37,0
04M057,95,20,0,20,0
04M825,59,20,0,36,0
06M324,132,20,0,13,0
12X383,91,20,0,23,0
13K113,104,20,0,23,0
16K681,33,20,0,32,0
17K543,64,20,0,12,0
23K518,77,20,0,26,0
32K377,51,20,0,44,1
84M386,61,20,0,29,0
84M478,126,20,0,7,0
84Q304,62,20,0,33,0
84X538,30,20,0,74,1
03M421,74,21,0,28,0
05M129,63,21,0,38,0
08X467,111,21,0,18,0
09X328,80,21,0,28,0
13K351,53,21,0,47,1
15K464,64,21,0,10,0
19K364,126,21,0,19,0
28Q167,127,21,0,8,0
28Q284,96,21,0,11,0
28Q287,138,21,0,17,0
29Q289,60,21,0,24,0
84K724,85,21,0,23,0
84M481,101,21,0,9,0
03M180,51,22,0,37,0
06M322,115,22,0,18,0
08X131,152,22,0,13,0
13K527,57,22,0,18,0
31R080,98,22,0,10,0
32K554,61,22,0,17,0
84K355,84,22,0,27,0
84K744,91,22,0,12,0
84M388,100,22,0,26,0
84X389,44,22,0,51,1
84X703,117,22,0,9,0
11X287,196,23,0,12,0
17K138,73,23,0,28,0
19K218,146,23,0,16,0
25Q252,92,23,0,13,0
26Q178,59,23,0,38,0
84K379,56,23,0,38,0
84K731,57,23,0,36,0
84M284,88,23,0,14,0
84X346,29,23,0,69,1
84X704,81,23,0,14,0
09X022,158,24,0,16,0
10X390,188,24,0,14,0
11X019,58,24,0,52,1
11X355,101,24,0,18,0
11X462,87,24,0,25,0
17K246,138,24,0,16,0
19K661,149,24,0,19,0
20K609,78,24,0,14,0
28Q310,79,24,0,12,0
32K045,70,24,0,38,0
84K737,106,24,0,21,0
84X706,67,24,0,34,0
84X717,33,24,0,80,1
09X215,105,25,0,32,0
11X089,174,25,0,15,0
15K442,70,25,0,31,0
27Q297,122,25,0,20,0
84K358,60,25,0,24,0
84K793,92,25,0,34,0
13K492,63,26,0,44,1
24Q113,109,26,0,19,0
84K740,76,26,0,36,0
84K742,55,26,0,46,1
84K746,72,26,0,40,1
84K782,80,26,0,43,1
84M065,114,26,0,12,0
84Q321,102,26,0,30,0
84R073,119,26,0,20,0
84X471,87,26,0,15,0
06M319,120,27,0,18,0
09X339,156,27,0,15,0
10X015,58,27,0,48,1
10X368,170,27,0,7,0
16K035,97,27,0,34,0
28Q332,111,27,0,25,0
29Q268,62,27,0,44,1
29Q295,58,27,0,43,1
84K360,110,27,0,25,0
84K608,87,27,0,13,0
84M202,63,27,0,38,0
84M350,111,27,0,11,0
12X214,163,28,0,19,0
17K181,77,28,0,34,0
29Q208,92,28,0,27,0
30Q127,153,28,0,19,0
30Q204,167,28,0,18,0
08X562,120,29,0,30,0
09X323,159,29,0,18,0
10X447,167,29,0,18,0
11X370,131,29,0,22,0
12X129,179,29,0,17,0
30Q286,81,29,0,17,0
84K710,87,29,0,35,0
84K791,62,29,0,41,1
84M385,78,29,0,16,0
84Q340,89,29,0,33,0
84X496,32,29,0,87,1
08X367,102,30,0,14,0
09X568,81,30,0,18,0
22K381,87,30,0,30,0
84K386,90,30,0,32,0
84X233,48,30,0,60,1
84X493,56,30,0,63,1
07X343,103,31,0,32,0
11X566,158,31,0,19,0
84K711,84,31,0,41,1
84X378,35,31,0,93,1
84X488,92,31,0,16,0
84K508,90,32,0,23,0
84X491,49,32,0,38,0
02M422,74,33,0,16,0
21K209,67,33,0,49,1
27Q232,121,33,0,32,0
84Q341,82,33,0,42,1
12X316,131,34,0,26,0
18K763,81,34,0,48,1
31R861,93,34,0,35,0
09X454,151,35,0,22,0
10X331,138,35,0,27,0
11X468,103,35,0,34,0
11X529,110,35,0,29,0
14K126,107,35,0,25,0
17K340,87,35,0,47,1
22K078,180,35,0,17,0
24Q560,60,35,0,20,0
29Q270,99,35,0,36,0
84K357,86,35,0,27,0
84M351,65,35,0,14,0
84Q706,78,35,0,55,1
06M187,97,36,0,34,0
11X498,91,36,0,37,0
18K211,195,36,0,19,0
11X326,137,37,0,27,0
18K066,107,37,0,36,0
27Q319,119,37,0,30,0
28Q072,142,37,0,28,0
84K648,89,37,0,42,1
84K704,54,37,0,64,1
84M384,58,37,0,52,1
10X279,130,38,0,27,0
13K282,62,38,0,39,1
21K303,179,38,0,20,0
84K333,54,38,0,71,1
84M430,117,38,0,33,0
08X125,123,39,0,33,0
08X337,181,39,0,24,0
08X371,120,39,0,34,0
84K593,95,39,0,40,1
31R061,320,40,0,12,0
84K803,228,40,0,16,0
84M482,76,40,0,66,1
84X487,79,40,0,42,1
09X232,145,41,0,23,0
10X280,129,41,0,40,1
22K014,168,41,0,19,0
25Q250,122,41,0,25,0
84K651,47,41,0,89,1
84Q083,104,41,0,47,1
02M177,76,42,0,51,1
10X020,122,42,0,35,0
10X095,156,42,0,26,0
11X144,171,42,0,23,0
18K366,119,42,0,30,0
21K225,121,42,0,30,0
27Q282,88,42,0,50,1
31R049,215,42,0,17,0
04M171,95,43,0,47,1
22K207,162,43,0,30,0
84K775,78,43,0,18,0
84X460,134,43,0,33,0
10X363,197,45,0,25,0
18K285,231,45,0,23,0
10X045,226,46,0,17,0
23K392,98,46,0,48,1
84K777,87,46,0,57,1
02M289,93,47,0,51,1
28Q358,134,47,0,38,0
84K652,107,48,0,20,0
17K189,150,49,0,41,1
84K356,92,49,0,34,0
10X080,235,51,0,22,0
11X556,137,52,0,35,0
19K452,119,52,0,51,1
27Q124,143,52,0,37,0
15K821,165,53,0,32,0
84K538,97,53,0,32,0
84K780,85,54,0,62,1
84K626,92,55,0,31,0
29Q059,177,56,0,28,0
30Q010,233,56,0,22,0
84K517,84,56,0,28,0
27Q226,320,58,0,17,0
84X419,65,58,0,87,1
84K712,100,59,0,17,0
24Q077,350,61,0,17,0
09X218,107,63,0,69,1
10X228,88,64,0,71,1
84K774,94,65,0,84,1
84X255,90,65,0,73,1
09X128,125,68,0,57,1
17K002,166,69,0,43,1
22K240,231,74,0,27,0
31R002,323,75,0,26,0
24Q093,357,78,0,20,0
06M223,104,81,0,93,1
10X244,285,91,0,33,0
24Q061,752,93,0,13,0
08X071,187,96,0,53,1
17K061,279,96,0,35,0
20K062,434,104,0,26,0
29Q238,471,123,0,23,0
11X180,307,151,0,49,1
32K383,278,179,0,63,1
