,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
29,0.12421517372131348,0.0019468872700351251,0.21371726989746093,0.002162281139668997,,0.2,4,3,30,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 30}",0.7878787878787877,0.6206896551724139,0.5714285714285715,0.6153846153846153,0.7317073170731708,0.6657478729413967,0.0810459674527655,163,0.9066666666666666,0.8513513513513513,0.7972972972972973,0.7972972972972973,0.8513513513513513,0.8409703504043127,0.04094356639919795,101
30,0.16329579353332518,0.0013808505820433802,0.21172842979431153,0.0020591414073834286,,0.2,4,3,100,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 100}",0.7878787878787877,0.6206896551724139,0.5142857142857143,0.6153846153846153,0.7317073170731708,0.6543501062875653,0.09612439589666158,275,0.9066666666666666,0.8513513513513513,0.7702702702702703,0.7972972972972973,0.8513513513513513,0.8355795148247979,0.0475802614248456,190
31,0.47834978103637693,0.003690113720829144,0.21262211799621583,0.002535698810857457,,0.2,4,3,300,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 300}",0.7878787878787877,0.6206896551724139,0.5555555555555555,0.6153846153846153,0.7142857142857143,0.6591068977907903,0.08230412881981689,245,0.9066666666666666,0.8513513513513513,0.7837837837837838,0.7972972972972973,0.8378378378378378,0.8355795148247979,0.043584809624364965,190
32,0.1117401123046875,0.001870303528665841,0.20928292274475097,0.0015488103422458144,,0.2,4,5,10,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10}",0.7999999999999999,0.7096774193548386,0.625,0.5405405405405405,0.6666666666666666,0.6687317044894646,0.08647476122403064,147,0.9066666666666666,0.8783783783783784,0.8378378378378378,0.7702702702702703,0.8108108108108109,0.8409703504043127,0.048290970114107844,101
33,0.123748779296875,0.0022648215441651164,0.21196188926696777,0.0037541927367467655,,0.2,4,5,30,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 30}",0.7878787878787877,0.6206896551724139,0.5714285714285715,0.6153846153846153,0.7317073170731708,0.6657478729413967,0.0810459674527655,163,0.9066666666666666,0.8513513513513513,0.7972972972972973,0.7972972972972973,0.8513513513513513,0.8409703504043127,0.04094356639919795,101
34,0.16258540153503417,0.0007277527325267411,0.21011590957641602,0.0017136408440807304,,0.2,4,5,100,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.7878787878787877,0.6206896551724139,0.5142857142857143,0.6153846153846153,0.7317073170731708,0.6543501062875653,0.09612439589666158,275,0.9066666666666666,0.8513513513513513,0.7702702702702703,0.7972972972972973,0.8513513513513513,0.8355795148247979,0.0475802614248456,190
35,0.4877598285675049,0.007346801475102668,0.21240649223327637,0.0015475988503761255,,0.2,4,5,300,"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.7878787878787877,0.6206896551724139,0.5555555555555555,0.6153846153846153,0.7142857142857143,0.6591068977907903,0.08230412881981689,245,0.9066666666666666,0.8513513513513513,0.7837837837837838,0.7972972972972973,0.8378378378378378,0.8355795148247979,0.043584809624364965,190
36,0.11251115798950195,0.0010452574291304612,0.21179261207580566,0.001097722891574374,,0.5,1,2,10,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.6896551724137931,0.6428571428571428,0.6206896551724139,0.48484848484848486,0.7096774193548386,0.6297075954077295,0.07898296360106617,378,0.88,0.8648648648648649,0.8513513513513513,0.7702702702702703,0.8783783783783784,0.8490566037735849,0.04067013771683482,22
37,0.12468934059143066,0.0018661500875421465,0.21132206916809082,0.0021496902737216756,,0.5,1,2,30,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30}",0.7142857142857143,0.5925925925925927,0.6206896551724139,0.5294117647058824,0.6875,0.6291261064535697,0.06640317380814241,379,0.8933333333333333,0.8513513513513513,0.8513513513513513,0.7837837837837838,0.8648648648648649,0.8490566037735849,0.036028748095279756,22
38,0.1648782253265381,0.002883732887340431,0.21005678176879883,0.002473076403394165,,0.5,1,2,100,"{'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8125000000000001,0.5384615384615384,0.5999999999999999,0.5142857142857143,0.7272727272727272,0.6389729879285135,0.11428668964285177,360,0.92,0.8378378378378378,0.8378378378378378,0.7702702702702703,0.8783783783783784,0.8490566037735849,0.049772032957516574,22
