DBN,DataName,SchoolName1,SchoolName2,NumSHSATTestTakers,NumSpecializedOffers,OffersPerStudent,PctBlackOrHispanic
32K045,P.S./I.S. 045 HORACE E. GREENE,Public School/Intermediate School 45,The Horace E. Greene School,24,0,0,93%
84K737,BROWNSVILLE ASCEND CHARTER SCHOOL,,Brownsville Ascend Charter School,24,0,0,97%
84X706,HARRIET TUBMAN CHARTER SCHOOL,,Harriet Tubman Charter School,24,0,0,98%
84X717,ICAHN CHARTER SCHOOL,,Icahn Charter School,24,0,0,98%
09X215,KAPPA,,Kappa,25,0,0,92%
11X089,P.S. 089 BRONX,Public School 89,The Bronx School,25,0,0,73%
15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,Middle School 442,The Carroll Gardens School for Innovation,25,0,0,60%
27Q297,HAWTREE CREEK MIDDLE SCHOOL,,Hawtree Creek Middle School,25,0,0,55%
84K358,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,,Achievement First East New York Charter School,25,0,0,97%
84K793,BUSHWICK ASCEND CHARTER SCHOOL,,Bushwick Ascend Charter School,25,0,0,97%
13K492,ACADEMY OF ARTS AND LETTERS,,Academy of Arts and Letters,26,0,0,48%
24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,Public School/Intermediate School 113,The Anthony J. Pranzo School,26,0,0,43%
84K740,BROOKLYN SCHOLARS CHARTER SCHOOL,,Brooklyn Scholars Charter School,26,0,0,91%
84K742,EXPLORE EMPOWER CHARTER SCHOOL,,Explore Empower Charter School,26,0,0,96%
84K746,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,,Hebrew Language Academy Charter School,26,0,0,53%
84K782,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,,Bedford Stuyvesant New Beginnings Charter School,26,0,0,98%
84M065,DEMOCRACY PREP ENDURANCE CHARTER SCHOOL,,Democracy Prep Endurance Charter School,26,0,0,96%
84Q321,GROWING UP GREEN CHARTER SCHOOL,,Growing Up Green Charter School,26,0,0,49%
84R073,NEW WORLD PREPARATORY CHARTER SCHOOL,,New World Preparatory Charter School,26,0,0,93%
84X471,AMERICAN DREAM CHARTER SCHOOL,,American Dream Charter School,26,0,0,99%
06M319,M.S. 319 - MARIA TERESA,Middle School 319,The Maria Teresa School,27,0,0,99%
09X339,I.S. 339,,Intermediate School 339,27,0,0,97%
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,Public School X15,The Institute for Environmental Learning School,27,0,0,98%
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),Middle School/High School 368,The In-Tech Academy School,27,0,0,90%
16K035,M.S. 035 STEPHEN DECATUR,Middle School 35,The Stephen Decatur School,27,0,0,96%
28Q332,REDWOOD MIDDLE SCHOOL,,Redwood Middle School,27,0,0,77%
29Q268,P.S./I.S. 268,,Public School/Intermediate School 268,27,0,0,61%
29Q295,P.S./I.S. 295,,Public School/Intermediate School 295,27,0,0,53%
84K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,,Launch Expeditionary Learning Charter School,27,0,0,95%
84K608,KINGS COLLEGIATE CHARTER SCHOOL,,Kings Collegiate Charter School,27,0,0,97%
84M202,GREAT OAKS CHARTER SCHOOL,,Great Oaks Charter School,27,0,0,87%
84M350,DEMOCRACY PREP CHARTER SCHOOL,,Democracy Prep Charter School,27,0,0,97%
12X214,P.S. 214,,Public School 214,28,0,0,95%
17K181,P.S. 181 BROOKLYN,Public School 181,The Brooklyn School,28,0,0,94%
29Q208,P.S./I.S. 208,,Public School/Intermediate School 208,28,0,0,88%
30Q127,P.S. 127 AEROSPACE SCIENCE MAGNET SCHOOL,Public School 127,The Aerospace Science Magnet School,28,0,0,85%
30Q204,I.S. 204 OLIVER W. HOLMES,Intermediate School 204,The Oliver W. Holmes School,28,0,0,77%
08X562,BLUEPRINT MIDDLE SCHOOL,,Blueprint Middle School,29,0,0,75%
09X323,BRONX WRITING ACADEMY,,Bronx Writing Academy,29,0,0,96%
10X447,CRESTON ACADEMY,,Creston Academy,29,0,0,96%
11X370,LEADERS OF TOMORROW,,Leaders of Tomorrow,29,0,0,93%
12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,Middle School 129,The Academy for Independent Learning and Leadership School,29,0,0,95%
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,"Young Women's Leadership School, Astoria",29,0,0,47%
84K710,BROWNSVILLE COLLEGIATE CHARTER SCHOOL,,Brownsville Collegiate Charter School,29,0,0,92%
84K791,BROOKLYN DREAMS CHARTER SCHOOL,,Brooklyn Dreams Charter School,29,0,0,79%
84M385,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3,,Success Academy Charter School - Harlem 3,29,0,0,95%
84Q340,CHALLENGE PREPARATORY CHARTER SCHOOL,,Challenge Preparatory Charter School,29,0,0,95%
84X496,ICAHN CHARTER SCHOOL 4,,Icahn Charter School 4,29,0,0,93%
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,"Archimedes Academy for Math, Science and Technology Applications",30,0,0,87%
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,,Young Women's Leadership School of the Bronx,30,0,0,95%
22K381,I. S. 381,,Intermediate School 381,30,0,0,73%
84K386,INVICTUS PREPARATORY CHARTER SCHOOL,,Invictus Preparatory Charter School,30,0,0,92%
84X233,FAMILY LIFE ACADEMY CHARTER SCHOOL II,,Family Life Academy Charter School II,30,0,0,99%
84X493,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,,Success Academy Charter School - Bronx 1,30,0,0,96%
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,,Academy of Applied Mathematics and Technology,31,0,0,97%
11X566,PELHAM GARDENS MIDDLE SCHOOL,,Pelham Gardens Middle School,31,0,0,90%
84K711,LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL,,Leadership Preparatory Brownsville Charter School,31,0,0,98%
84X378,ICAHN CHARTER SCHOOL 2,,Icahn Charter School 2,31,0,0,90%
84X488,THE EQUALITY CHARTER SCHOOL,,The Equality Charter School,31,0,0,97%
84K508,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,,Achievement First Endeavor Charter School,32,0,0,97%
84X491,ACADEMIC LEADERSHIP CHARTER SCHOOL,,Academic Leadership Charter School,32,0,0,98%
02M422,QUEST TO LEARN,,Quest to Learn,33,0,0,65%
21K209,P.S. 209 MARGARET MEAD,Public School 209,The Margaret Mead School,33,0,0,28%
27Q232,P.S. 232 LINDENWOOD,Public School 232,The Lindenwood School,33,0,0,55%
84Q341,RIVERTON STREET CHARTER SCHOOL,,Riverton Street Charter School,33,0,0,97%
12X316,KAPPA III,,Kappa III,34,0,0,96%
18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,,Brooklyn Science and Engineering Academy,34,0,0,97%
31R861,STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,,Staten Island School of Civic Leadership,34,0,0,63%
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,,Science and Technology Academy: A Mott Hall School,35,0,0,97%
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,,The Bronx School of Young Leaders,35,0,0,98%
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,,Pelham Academy of Academics and Community Engagement,35,0,0,76%
11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,,One World Middle School at Edenwald,35,0,0,91%
14K126,JOHN ERICSSON MIDDLE SCHOOL 126,Middle School 126,The John Ericsson School,35,0,0,88%
17K340,I.S. 340,,Intermediate School 340,35,0,0,95%
22K078,J.H.S. 078 ROY H. MANN,Junior High School 78,The Roy H. Mann School,35,0,0,79%
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",,Robert F. Wagner Jr. Secondary School for Arts and Technology,35,0,0,60%
29Q270,THE GORDON PARKS SCHOOL,,The Gordon Parks School,35,0,0,98%
84K357,KIPP AMP CHARTER SCHOOL,,Kipp Amp Charter School,35,0,0,96%
84M351,SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1,,Success Academy Charter School - Harlem 1,35,0,0,94%
84Q706,OUR WORLD NEIGHBORHOOD CHARTER SCHOOL,,Our World Neighborhood Charter School,35,0,0,45%
06M187,P.S./I.S. 187 HUDSON CLIFFS,Public School/Intermediate School 187,The Hudson Cliffs School,36,0,0,55%
