Hidden Layers,Accuracy,Acc Lower CI,Acc Upper CI,F1,F1 Lower CI,F1 Upper CI
"(99, 49, 24, 49)",0.8272432432432432,0.7296427004529575,0.9248437860335288,0.5951820728291317,0.3198770348914301,0.8704871107668333
"(99, 49, 24, 99)",0.819135135135135,0.7116188422845077,0.9266514279857624,0.5552506983287916,0.24067386854199252,0.8698275281155907
"(99, 49, 24, 148)",0.8165405405405405,0.7230349750229674,0.9100461060581135,0.5779577285459638,0.3259069091974308,0.8300085478944969
"(99, 49, 24, 198)",0.8165765765765766,0.720219465174342,0.9129336879788111,0.5868136269075737,0.34266610797206976,0.8309611458430776
"(99, 49, 49)",0.8218018018018018,0.6878435905922662,0.9557600130113375,0.5891386554621848,0.26221667795506975,0.9160606329692998
"(99, 49, 49, 24)",0.8245045045045044,0.6952514153533774,0.9537575936556314,0.5941424319753181,0.29904638628659524,0.889238477664041
"(99, 49, 49, 49)",0.8218018018018018,0.6965025852919516,0.947101018311652,0.5708471920236626,0.24370600671579234,0.8979883773315329
"(99, 49, 49, 99)",0.819099099099099,0.6924485109585726,0.9457496872396253,0.5839572192513369,0.27558598265875206,0.8923284558439217
"(99, 49, 49, 148)",0.8164324324324325,0.6930946050192631,0.9397702598456018,0.5890196078431372,0.31681694864603904,0.8612222670402354
"(99, 49, 49, 198)",0.8163963963963964,0.6853751487414195,0.9474176440513733,0.5887445887445888,0.29113895152642183,0.8863502259627558
"(99, 49, 99)",0.8326126126126125,0.7239274705484329,0.9412977546767922,0.6128483307571184,0.32808454801803966,0.8976121134961972
"(99, 49, 99, 24)",0.8164684684684685,0.7102322515764364,0.9227046853605007,0.5679039240329563,0.29697118672230066,0.838836661343612
"(99, 49, 99, 49)",0.8245405405405405,0.7246439064188717,0.9244371746622093,0.5906156714885368,0.34171016816621264,0.8395211748108609
"(99, 49, 99, 99)",0.8218378378378379,0.7107478677535697,0.9329278079221062,0.5877686529157118,0.32142394983173916,0.8541133559996844
"(99, 49, 99, 148)",0.8110630630630631,0.6991197300728501,0.9230063960532761,0.5752572740808035,0.29841525374482747,0.8520992944167796
"(99, 49, 99, 198)",0.8191711711711711,0.7271127126045999,0.9112296297377424,0.5672019736535866,0.323456317011132,0.8109476302960412
"(99, 49, 148)",0.8218018018018018,0.6976274080186117,0.945976195584992,0.5778035163234405,0.26420822287749174,0.8913988097693892
"(99, 49, 148, 24)",0.819099099099099,0.6777875224743417,0.9604106757238562,0.5681523046845627,0.23264327845576516,0.9036613309133602
"(99, 49, 148, 49)",0.8190990990990992,0.6838760235209366,0.9543221746772618,0.5812834224598931,0.27009852851743765,0.8924683164023485
"(99, 49, 148, 99)",0.8326126126126127,0.7265407834948311,0.9386844417303942,0.6092235579639885,0.3524055449017408,0.8660415710262362
"(99, 49, 148, 148)",0.8136936936936937,0.6776155761764382,0.9497718112109492,0.5632971076993848,0.24963620105258716,0.8769580143461824
"(99, 49, 148, 198)",0.8083243243243243,0.669116672938933,0.9475319757097157,0.5762464985994399,0.25872545227994836,0.8937675449189314
"(99, 49, 198)",0.8191711711711711,0.7090678723153828,0.9292744700269594,0.5827387188036275,0.3268919688435047,0.8385854687637503
"(99, 49, 198, 24)",0.8245045045045046,0.7019374635197767,0.9470715454892326,0.5917972350230414,0.2755534365003538,0.908041033545729
"(99, 49, 198, 49)",0.819135135135135,0.7028421932415765,0.9354280770286936,0.5922298057979172,0.30573480927250446,0.8787248023233298
"(99, 49, 198, 99)",0.8163603603603603,0.6711785192452865,0.9615422014754341,0.5846045595271602,0.24696272530530916,0.9222463937490112
"(99, 49, 198, 148)",0.8219099099099099,0.7470712321720917,0.896748587647728,0.5784682135446142,0.33673486825020205,0.8202015588390263
"(99, 49, 198, 198)",0.8326486486486487,0.727881874486713,0.9374154228105844,0.6004658655520725,0.32733039074354897,0.873601340360596
"(99, 99)",0.8272432432432432,0.704206103792795,0.9502803826936913,0.5781746031746031,0.25953621918251973,0.8968129871666866
"(99, 99, 24)",0.8219099099099101,0.7071170768468117,0.9367027429730085,0.5792760180995475,0.2678655690337683,0.8906864671653267
"(99, 99, 24, 24)",0.8272792792792792,0.7100846511595357,0.9444739073990228,0.5983903862461737,0.3109940567278725,0.8857867157644749
"(99, 99, 24, 49)",0.8219099099099101,0.7011603241737675,0.9426594956460527,0.5753851992409867,0.22544331059266826,0.9253270878893052
"(99, 99, 24, 99)",0.8272792792792792,0.7042441266076844,0.9503144319508741,0.6015439293997169,0.2956505576059787,0.9074373011934551
"(99, 99, 24, 148)",0.8165765765765766,0.7040952183144314,0.9290579348387217,0.5783666018960136,0.26992890594263685,0.8868042978493904
"(99, 99, 24, 198)",0.8272432432432432,0.699726216809958,0.9547602696765284,0.6066469831175714,0.29114535434392896,0.9221486118912138
"(99, 99, 49)",0.8138018018018018,0.7001587632748747,0.927444840328729,0.5847765643132357,0.30279486949981044,0.8667582591266609
"(99, 99, 49, 24)",0.8137297297297298,0.6976396558572553,0.9298198036022043,0.5682241890970544,0.27149753972793084,0.8649508384661779
"(99, 99, 49, 49)",0.8272432432432433,0.6912083185993732,0.9632781678871134,0.602933358351315,0.2652350670278927,0.9406316496747373
"(99, 99, 49, 99)",0.8245045045045044,0.677954881418598,0.9710541275904108,0.5934869934869935,0.22835468058863678,0.9586193063853503
"(99, 99, 49, 148)",0.830054054054054,0.7253901832826638,0.9347179248254441,0.6064320625610947,0.3330744873538611,0.8797896377683283
"(99, 99, 49, 198)",0.821873873873874,0.7034438494406695,0.9403038983070785,0.5928582418145985,0.3052373036112485,0.8804791800179483
"(99, 99, 99)",0.819099099099099,0.6777875224743417,0.9604106757238562,0.5811790686790687,0.2336636051863097,0.9286945321718276
"(99, 99, 99, 24)",0.8299099099099099,0.6937081195493306,0.9661117002704891,0.5960999122289444,0.23444252085307726,0.9577573036048116
"(99, 99, 99, 49)",0.821873873873874,0.7034438494406695,0.9403038983070785,0.6031583307445376,0.3142380161693891,0.8920786453196861
"(99, 99, 99, 99)",0.8245765765765766,0.7115025619396804,0.9376505912134727,0.5982836771072064,0.3381127340452398,0.8584546201691731
"(99, 99, 99, 148)",0.811027027027027,0.6883370471841934,0.9337170068698606,0.5656151780677398,0.28230359597621946,0.84892676015926
"(99, 99, 99, 198)",0.8218378378378379,0.6899590070445859,0.95371666863109,0.5795004919530536,0.2439678692752138,0.9150331146308934
"(99, 99, 148)",0.8219099099099099,0.7187020020558282,0.9251178177639915,0.5942098065096356,0.3287348077450957,0.8596848052741755
"(99, 99, 148, 24)",0.8245405405405404,0.7066086630829503,0.9424724179981304,0.5860242235242235,0.2675070695495532,0.9045413774988937
"(99, 99, 148, 49)",0.8272072072072072,0.673748447103151,0.9806659673112634,0.5996416380317309,0.21086872556448927,0.9884145504989725
"(99, 99, 148, 99)",0.821873873873874,0.7022649934602152,0.9414827542875328,0.6008917226831868,0.3452021623027661,0.8565812830636075
"(99, 99, 148, 148)",0.8272432432432433,0.7088553919327693,0.9456310945537173,0.5961057947900054,0.29208370819283974,0.9001278813871709
"(99, 99, 148, 198)",0.8137657657657659,0.6883661383043818,0.93916539322715,0.5731099319334613,0.2490516214404092,0.8971682424265133
"(99, 99, 198)",0.8137297297297298,0.6776123178758888,0.9498471415835708,0.5696146146146146,0.23558121140609756,0.9036480178231316
"(99, 99, 198, 24)",0.811027027027027,0.6773895808548174,0.9446644731992366,0.5624074074074075,0.23835983486137408,0.8864549799534409
"(99, 99, 198, 49)",0.8218738738738738,0.6932224340596019,0.9505253136881456,0.5890610478845772,0.24784287801947713,0.9302792177496774
"(99, 99, 198, 99)",0.8110990990990992,0.6954716440232919,0.9267265541749065,0.5641962591488208,0.29732603023413906,0.8310664880635025
