,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
449,449,6.0,10X228,JONAS BRONCK ACADEMY,0.821,88.0,64.0,71.0,91.0,-17,-10.2
14,450,10.0,22K234,J.H.S. 234 ARTHUR W. CUNNINGHAM,0.46299999999999997,650.0,370.0,54.0,28.0,-11,-11.0
6,451,10.0,20K201,J.H.S. 201 THE DYKER HEIGHTS,0.5579999999999999,508.0,338.0,64.0,14.0,-11,-11.0
19,452,10.0,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,0.276,63.0,94.0,36.0,17.0,-11,-11.0
12,453,10.0,26Q158,M.S. 158 MARIE CURIE,0.27399999999999997,351.0,236.0,61.0,19.0,-11,-11.0
8,454,10.0,26Q216,J.H.S. 216 GEORGE J. RYAN,0.39899999999999997,470.0,304.0,62.0,17.0,-11,-11.0
1,455,10.0,21K239,MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,0.311,422.0,336.0,78.0,12.0,-14,-14.0
5,456,10.0,21K098,I.S. 98 BAY ACADEMY,0.445,499.0,372.0,75.0,13.0,-15,-15.0
27,457,10.0,15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,0.244,176.0,134.0,75.0,37.0,-16,-16.0
25,458,10.0,02M104,J.H.S. 104 SIMON BARUCH,0.522,378.0,260.0,67.0,29.0,-19,-19.0
17,459,8.0,24Q073,I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,0.573,687.0,394.0,51.0,60.0,-26,-20.8
2,460,10.0,03M054,J.H.S. 054 BOOKER T. WASHINGTON,0.221,295.0,257.0,91.0,20.0,-21,-21.0
42,461,9.0,14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,0.6779999999999999,371.0,222.0,47.0,80.0,-26,-23.400000000000002
463,462,7.0,32K383,J.H.S. 383 PHILIPPA SCHUYLER,0.643,278.0,179.0,63.0,93.0,-35,-24.5
3,463,10.0,15K051,M.S. 51 WILLIAM ALEXANDER,0.248,379.0,280.0,75.0,29.0,-25,-25.0
105,464,10.0,18K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,0.52,92.0,89.0,97.0,95.0,-40,-40.0
