,rank,1s,dbn,school_name,economic_need_index,grade_7_enrollment,num_shsat_test_takers,pct_test_takers,percent_black__hispanic,minority_delta,score
146,354,0.0,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",0.687,22.0,0.0,0.0,97.0,11,0.0
218,355,0.0,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,0.732,55.0,10.0,6.0,97.0,18,0.0
186,356,0.0,32K349,"I.S. 349 MATH, SCIENCE & TECH.",0.863,106.0,7.0,8.0,99.0,47,0.0
140,357,0.0,12X267,BRONX LATIN,0.835,79.0,0.0,0.0,98.0,39,0.0
84,358,0.0,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",0.496,79.0,29.0,17.0,60.0,7,0.0
217,359,0.0,05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,0.747,68.0,10.0,8.0,98.0,24,0.0
171,360,0.0,23K668,RIVERDALE AVENUE MIDDLE SCHOOL,0.804,38.0,6.0,13.0,98.0,13,0.0
124,361,0.0,04M406,GLOBAL TECHNOLOGY PREPARATORY,0.85,38.0,0.0,0.0,97.0,19,0.0
346,362,0.0,17K138,P.S. 138 BROOKLYN,0.7759999999999999,73.0,23.0,28.0,94.0,13,0.0
375,363,0.0,17K181,P.S. 181 BROOKLYN,0.721,77.0,28.0,34.0,95.0,11,0.0
219,364,0.0,07X029,P.S./M.S. 029 MELROSE SCHOOL,0.8909999999999999,89.0,10.0,12.0,96.0,34,0.0
431,365,0.0,04M171,P.S. 171 PATRICK HENRY,0.7509999999999999,95.0,43.0,47.0,89.0,5,0.0
285,366,0.0,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,0.9009999999999999,99.0,16.0,12.0,98.0,34,0.0
75,367,0.0,31R027,I.S. 027 ANNING S. PRALL,0.557,325.0,77.0,23.0,63.0,56,0.0
321,368,0.0,06M324,M.S. 324 - PATRIA MIRABAL,0.779,132.0,20.0,13.0,95.0,45,0.0
145,369,0.0,14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,0.68,54.0,0.0,0.0,91.0,25,0.0
116,370,0.0,02M655,LIFE SCIENCES SECONDARY SCHOOL,0.765,22.0,0.0,0.0,91.0,10,0.0
342,371,0.0,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,0.695,57.0,22.0,18.0,86.0,6,0.0
303,372,0.0,07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,0.866,100.0,18.0,9.0,99.0,33,0.0
363,373,0.0,27Q297,HAWTREE CREEK MIDDLE SCHOOL,0.495,122.0,25.0,20.0,66.0,25,0.0
180,374,0.0,14K050,J.H.S. 050 JOHN D. WELLS,0.8220000000000001,109.0,7.0,8.0,96.0,47,0.0
250,375,0.0,23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),0.8370000000000001,27.0,12.0,34.0,97.0,2,0.0
354,376,0.0,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),0.631,87.0,24.0,25.0,97.0,20,0.0
355,377,0.0,17K246,M.S. 246 WALT WHITMAN,0.708,138.0,24.0,16.0,96.0,45,0.0
150,378,0.0,23K697,TEACHERS PREPARATORY HIGH SCHOOL,0.7120000000000001,21.0,0.0,0.0,97.0,10,0.0
408,379,0.0,11X326,BRONX GREEN MIDDLE SCHOOL,0.778,137.0,37.0,27.0,83.0,27,0.0
276,380,0.0,11X532,BAYCHESTER MIDDLE SCHOOL,0.7020000000000001,100.0,15.0,13.0,95.0,34,0.0
152,381,0.0,27Q047,P.S. 047 CHRIS GALAS,0.304,10.0,0.0,0.0,17.0,1,0.0
263,382,0.0,17K722,NEW HEIGHTS MIDDLE SCHOOL,0.7440000000000001,69.0,13.0,18.0,93.0,21,0.0
442,383,0.0,19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,0.64,119.0,52.0,51.0,95.0,8,0.0
141,384,0.0,12X286,FANNIE LOU HAMER MIDDLE SCHOOL,0.843,94.0,0.0,0.0,97.0,47,0.0
246,385,0.0,19K663,SCHOOL OF THE FUTURE BROOKLYN,0.8909999999999999,61.0,12.0,19.0,97.0,19,0.0
